BSE Code,Company Name
501301,Tata Investment Corporation Ltd
501311,Jayabharat Credit Ltd
501314,Prismx Global Ventures Ltd
501343,Motor & General Finance Ltd
501351,Rapid Investments Ltd
501370,Walchand Peoplefirst Ltd
501386,Swastik Safe Deposit & Investments Ltd
501391,WH Brady & Company Ltd
501421,TechNVision Ventures Ltd
501423,Shaily Engineering Plastics Ltd
501425,Bombay Burmah Trading Corporation Ltd
501430,Bombay Cycle & Motor Agency Ltd
501455,Greaves Cotton Ltd
501477,Muller & Phipps India Ltd
501479,Springform Technology Ltd
501622,Amalgamated Electricity Company Ltd
501630,Anand Projects Ltd
501700,IndiaNivesh Ltd
501831,Coastal Corporation Ltd
501833,Chowgule Steamships Ltd
501848,Global Offshore Services Ltd
501945,Dhenu Buildcon Infra Ltd
502015,ASI Industries Ltd
502090,Sagar Cements Ltd
502133,Hemadri Cements Ltd
502137,Deccan Cements Ltd
502157,Mangalam Cement Ltd
502168,NCL Industries Ltd
502175,Saurashtra Cement Ltd
502180,Shree Digvijay Cement Company Ltd
502219,Borosil Renewables Ltd
502250,Lerthai Finance Ltd
502281,Triveni Glass Ltd
502294,Nilachal Refractories Ltd
502330,Andhra Paper Ltd
502355,Balkrishna Industries Ltd
502420,Orient Paper & Industries Ltd
502445,Citadel Realty and Developers Ltd
502448,Rollatainers Ltd
502450,Seshasayee Paper and Boards Ltd
502587,Nath Industries Ltd
502589,Vapi Enterprise Ltd
502820,DCM Ltd
502850,Gaekwar Mills Ltd
502865,Forbes & Company Ltd
502873,HP Cotton Textile Mills Ltd
502893,United Interactive Ltd
502901,Jamshri Realty Ltd
502933,Katare Spinning Mills Ltd
502937,Kesoram Industries Ltd
502958,Lakshmi Mills Company Ltd
502986,Vardhman Textiles Ltd
503031,Peninsula Land Ltd
503092,Pasupati Spinning & Weaving Mills Ltd
503100,The Phoenix Mills Ltd
503101,Marathon Nextgen Realty Ltd
503127,Raja Bahadur International Ltd
503162,Reliance Chemotex Industries Ltd
503169,Ruby Mills Ltd
503229,Simplex Realty Ltd
503310,Swan Energy Ltd
503349,Victoria Mills Ltd
503622,SV Trading & Agencies Ltd
503624,Svaraj Trading & Agencies Ltd
503626,Kshitij Investments Ltd
503635,Shree Salasar Investments Ltd
503639,Indsoya Ltd
503641,Zodiac Ventures Ltd
503657,Veer Energy & Infrastructure Ltd
503663,Tilak Ventures Ltd
503671,Unijolly Investments Company Ltd
503675,Wagend Infra Venture Ltd
503681,EL CID Investments Ltd
503685,Mediaone Global Entertainment Ltd
503689,Healthy Investments Ltd
503696,Shreenath Investment Company Ltd
503722,Banswara Syntex Ltd
503772,Modella Woollens Ltd
503776,Modipon Ltd
503804,Shri Dinesh Mills Ltd
